userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
0,MY_TECHNIQUE,ObjectCategory_1_Number_9,0,30,35999,1
0,MY_TECHNIQUE,ObjectCategory_9_Number_17,30,35999,47,25998,0
0,MY_TECHNIQUE,ObjectCategory_4_Number_30,47,25998,51,43998,0
0,MY_TECHNIQUE,ObjectCategory_5_Number_83,51,43998,67,29997,1
0,MY_TECHNIQUE,ObjectCategory_6_Number_48,67,29997,73,13998,0
0,MY_TECHNIQUE,ObjectCategory_4_Number_35,73,13998,77,83997,0
0,MY_TECHNIQUE,ObjectCategory_2_Number_67,77,83997,81,99997,1
0,MY_TECHNIQUE,ObjectCategory_2_Number_27,81,99997,86,13997,0
0,MY_TECHNIQUE,ObjectCategory_5_Number_47,86,13997,92,07996,0
0,MY_TECHNIQUE,ObjectCategory_9_Number_6,92,07996,96,21996,0
0,MY_TECHNIQUE,ObjectCategory_0_Number_61,96,21996,101,28,0
0,MY_TECHNIQUE,ObjectCategory_3_Number_104,101,28,112,96,0
0,MY_TECHNIQUE,ObjectCategory_5_Number_115,112,96,127,78,1
0,MY_TECHNIQUE,ObjectCategory_7_Number_72,127,78,139,6199,1
0,MY_TECHNIQUE,ObjectCategory_5_Number_44,139,6199,144,1799,1
0,MY_TECHNIQUE,ObjectCategory_8_Number_57,144,1799,148,6199,0
0,MY_TECHNIQUE,ObjectCategory_3_Number_104,148,6199,158,7599,1
0,MY_TECHNIQUE,ObjectCategory_2_Number_65,158,7599,161,0599,0
0,MY_TECHNIQUE,ObjectCategory_0_Number_76,161,0599,167,5999,0
0,MY_TECHNIQUE,ObjectCategory_2_Number_65,167,5999,172,6399,0
